index,tiempo_s,altitud_m,amplitud_sobre_baseline_m
739,94.262,-0.49447257722977156,120.38419641734582
3867,335.987,6.232449289996566,13.230288648355074
8125,974.434,8.904688054153894,14.4298305952791
