Fase,Muestras,Tiempo_medio_s,Presion_media_hPa,Presion_std_hPa,Temperatura_media_C,Densidad_media_kg_m3,Densidad_std_kg_m3,Presion_min_hPa,Presion_max_hPa,Densidad_min_kg_m3,Densidad_max_kg_m3
Inicio,419,29.771897374701673,1019.7588544152745,0.02283968045277934,20.586133651551314,1.209435211194006,0.0004120145768381345,1019.69,1019.82,1.207728453013812,1.2101564640969915
Ascenso fuerte,1930,596.7268181347151,1019.7522642487047,0.20904235624531642,19.072569948186526,1.2157224750421998,0.006130769366442623,1018.26,1019.93,1.1925348134677887,1.2235774710484024
Apogeo,1000,975.342951,1019.73253,0.1927512701700105,17.87666,1.2206647676155489,0.0012831921603579364,1018.26,1019.88,1.2172914560398842,1.2228553175808023
Descenso,1938,1058.5794210526317,1019.7053302373582,0.13984990598669422,19.238188854489163,1.2150109744297057,0.008797635201164836,1018.26,1019.88,1.192494779399927,1.2235774710484024
